datetime,portfolio_value,cash,cash_deposits_total,cash_withdrawals_total,cash_adjustments_net_total,cash_financing_enabled,cash_financing_account_mode,cash_financing_credit_total,cash_financing_debit_total,cash_financing_net_total,cash_financing_days_accrued,cash_financing_events,cash_financing_last_credit_rate_used,cash_financing_last_debit_rate_used,positions,cash_deposits_period,cash_withdrawals_period,cash_adjustments_net_period,cash_financing_credit_period,cash_financing_debit_period,cash_financing_net_period,return,cash_adjusted_portfolio_value
2025-07-15 08:30:00-04:00,101990.4588470459,13652.920669555666,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'AMD', 'type': 'stock'}, 'quantity': 86.0}, {'asset': {'symbol': 'NVDA', 'type': 'stock'}, 'quantity': 78.0}, {'asset': {'symbol': 'META', 'type': 'stock'}, 'quantity': 16.0}, {'asset': {'symbol': 'MSFT', 'type': 'stock'}, 'quantity': 25.0}, {'asset': {'symbol': 'AMZN', 'type': 'stock'}, 'quantity': 55.0}, {'asset': {'symbol': 'AAPL', 'type': 'stock'}, 'quantity': 61.0}, {'asset': {'symbol': 'GOOGL', 'type': 'stock'}, 'quantity': 76.0}]",0.0,0.0,0.0,0.0,0.0,0.0,0.006953739970590889,101990.45884704583
2025-07-15 09:30:00-04:00,101990.4588470459,13652.920669555666,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'AMD', 'type': 'stock'}, 'quantity': 86.0}, {'asset': {'symbol': 'NVDA', 'type': 'stock'}, 'quantity': 78.0}, {'asset': {'symbol': 'META', 'type': 'stock'}, 'quantity': 16.0}, {'asset': {'symbol': 'MSFT', 'type': 'stock'}, 'quantity': 25.0}, {'asset': {'symbol': 'AMZN', 'type': 'stock'}, 'quantity': 55.0}, {'asset': {'symbol': 'AAPL', 'type': 'stock'}, 'quantity': 61.0}, {'asset': {'symbol': 'GOOGL', 'type': 'stock'}, 'quantity': 76.0}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,101990.45884704583
2025-07-15 09:30:00-04:00,101990.4588470459,13652.920669555666,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'AMD', 'type': 'stock'}, 'quantity': 86.0}, {'asset': {'symbol': 'NVDA', 'type': 'stock'}, 'quantity': 78.0}, {'asset': {'symbol': 'META', 'type': 'stock'}, 'quantity': 16.0}, {'asset': {'symbol': 'MSFT', 'type': 'stock'}, 'quantity': 25.0}, {'asset': {'symbol': 'AMZN', 'type': 'stock'}, 'quantity': 55.0}, {'asset': {'symbol': 'AAPL', 'type': 'stock'}, 'quantity': 61.0}, {'asset': {'symbol': 'GOOGL', 'type': 'stock'}, 'quantity': 76.0}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,101990.45884704583
2025-07-15 16:00:00-04:00,101990.4588470459,13652.920669555666,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'AMD', 'type': 'stock'}, 'quantity': 86.0}, {'asset': {'symbol': 'NVDA', 'type': 'stock'}, 'quantity': 78.0}, {'asset': {'symbol': 'META', 'type': 'stock'}, 'quantity': 16.0}, {'asset': {'symbol': 'MSFT', 'type': 'stock'}, 'quantity': 25.0}, {'asset': {'symbol': 'AMZN', 'type': 'stock'}, 'quantity': 55.0}, {'asset': {'symbol': 'AAPL', 'type': 'stock'}, 'quantity': 61.0}, {'asset': {'symbol': 'GOOGL', 'type': 'stock'}, 'quantity': 76.0}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,101990.45884704583
2025-07-16 08:30:00-04:00,103483.12069702148,13652.920669555666,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'AMD', 'type': 'stock'}, 'quantity': 86.0}, {'asset': {'symbol': 'NVDA', 'type': 'stock'}, 'quantity': 78.0}, {'asset': {'symbol': 'META', 'type': 'stock'}, 'quantity': 16.0}, {'asset': {'symbol': 'MSFT', 'type': 'stock'}, 'quantity': 25.0}, {'asset': {'symbol': 'AMZN', 'type': 'stock'}, 'quantity': 55.0}, {'asset': {'symbol': 'AAPL', 'type': 'stock'}, 'quantity': 61.0}, {'asset': {'symbol': 'GOOGL', 'type': 'stock'}, 'quantity': 76.0}]",0.0,0.0,0.0,0.0,0.0,0.0,0.014635308702886771,103483.12069702141
2025-07-16 09:30:00-04:00,103483.12069702148,13652.920669555666,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'AMD', 'type': 'stock'}, 'quantity': 86.0}, {'asset': {'symbol': 'NVDA', 'type': 'stock'}, 'quantity': 78.0}, {'asset': {'symbol': 'META', 'type': 'stock'}, 'quantity': 16.0}, {'asset': {'symbol': 'MSFT', 'type': 'stock'}, 'quantity': 25.0}, {'asset': {'symbol': 'AMZN', 'type': 'stock'}, 'quantity': 55.0}, {'asset': {'symbol': 'AAPL', 'type': 'stock'}, 'quantity': 61.0}, {'asset': {'symbol': 'GOOGL', 'type': 'stock'}, 'quantity': 76.0}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,103483.12069702141
2025-07-16 09:30:00-04:00,103483.12069702148,13652.920669555666,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'AMD', 'type': 'stock'}, 'quantity': 86.0}, {'asset': {'symbol': 'NVDA', 'type': 'stock'}, 'quantity': 78.0}, {'asset': {'symbol': 'META', 'type': 'stock'}, 'quantity': 16.0}, {'asset': {'symbol': 'MSFT', 'type': 'stock'}, 'quantity': 25.0}, {'asset': {'symbol': 'AMZN', 'type': 'stock'}, 'quantity': 55.0}, {'asset': {'symbol': 'AAPL', 'type': 'stock'}, 'quantity': 61.0}, {'asset': {'symbol': 'GOOGL', 'type': 'stock'}, 'quantity': 76.0}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,103483.12069702141
2025-07-16 16:00:00-04:00,103483.12069702148,13652.920669555666,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'AMD', 'type': 'stock'}, 'quantity': 86.0}, {'asset': {'symbol': 'NVDA', 'type': 'stock'}, 'quantity': 78.0}, {'asset': {'symbol': 'META', 'type': 'stock'}, 'quantity': 16.0}, {'asset': {'symbol': 'MSFT', 'type': 'stock'}, 'quantity': 25.0}, {'asset': {'symbol': 'AMZN', 'type': 'stock'}, 'quantity': 55.0}, {'asset': {'symbol': 'AAPL', 'type': 'stock'}, 'quantity': 61.0}, {'asset': {'symbol': 'GOOGL', 'type': 'stock'}, 'quantity': 76.0}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,103483.12069702141
2025-07-17 08:30:00-04:00,103573.62088012695,13652.920669555666,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'AMD', 'type': 'stock'}, 'quantity': 86.0}, {'asset': {'symbol': 'NVDA', 'type': 'stock'}, 'quantity': 78.0}, {'asset': {'symbol': 'META', 'type': 'stock'}, 'quantity': 16.0}, {'asset': {'symbol': 'MSFT', 'type': 'stock'}, 'quantity': 25.0}, {'asset': {'symbol': 'AMZN', 'type': 'stock'}, 'quantity': 55.0}, {'asset': {'symbol': 'AAPL', 'type': 'stock'}, 'quantity': 61.0}, {'asset': {'symbol': 'GOOGL', 'type': 'stock'}, 'quantity': 76.0}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0008745405288891097,103573.62088012687
2025-07-17 09:30:00-04:00,103573.62088012695,13652.920669555666,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'AMD', 'type': 'stock'}, 'quantity': 86.0}, {'asset': {'symbol': 'NVDA', 'type': 'stock'}, 'quantity': 78.0}, {'asset': {'symbol': 'META', 'type': 'stock'}, 'quantity': 16.0}, {'asset': {'symbol': 'MSFT', 'type': 'stock'}, 'quantity': 25.0}, {'asset': {'symbol': 'AMZN', 'type': 'stock'}, 'quantity': 55.0}, {'asset': {'symbol': 'AAPL', 'type': 'stock'}, 'quantity': 61.0}, {'asset': {'symbol': 'GOOGL', 'type': 'stock'}, 'quantity': 76.0}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,103573.62088012687
2025-07-17 09:30:00-04:00,103573.62088012695,13652.920669555666,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'AMD', 'type': 'stock'}, 'quantity': 86.0}, {'asset': {'symbol': 'NVDA', 'type': 'stock'}, 'quantity': 78.0}, {'asset': {'symbol': 'META', 'type': 'stock'}, 'quantity': 16.0}, {'asset': {'symbol': 'MSFT', 'type': 'stock'}, 'quantity': 25.0}, {'asset': {'symbol': 'AMZN', 'type': 'stock'}, 'quantity': 55.0}, {'asset': {'symbol': 'AAPL', 'type': 'stock'}, 'quantity': 61.0}, {'asset': {'symbol': 'GOOGL', 'type': 'stock'}, 'quantity': 76.0}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,103573.62088012687
2025-07-17 16:00:00-04:00,103128.57061767578,-242.5290679931632,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'AMD', 'type': 'stock'}, 'quantity': 86.0}, {'asset': {'symbol': 'NVDA', 'type': 'stock'}, 'quantity': 78.0}, {'asset': {'symbol': 'META', 'type': 'stock'}, 'quantity': 16.0}, {'asset': {'symbol': 'MSFT', 'type': 'stock'}, 'quantity': 25.0}, {'asset': {'symbol': 'AMZN', 'type': 'stock'}, 'quantity': 55.0}, {'asset': {'symbol': 'AAPL', 'type': 'stock'}, 'quantity': 61.0}, {'asset': {'symbol': 'GOOGL', 'type': 'stock'}, 'quantity': 76.0}, {'asset': {'symbol': 'TSLA', 'type': 'stock'}, 'quantity': 43.0}]",0.0,0.0,0.0,0.0,0.0,0.0,-0.004296946062803577,103128.57061767568
2025-07-18 08:30:00-04:00,103868.39164733887,-242.5290679931632,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'AMD', 'type': 'stock'}, 'quantity': 86.0}, {'asset': {'symbol': 'NVDA', 'type': 'stock'}, 'quantity': 78.0}, {'asset': {'symbol': 'META', 'type': 'stock'}, 'quantity': 16.0}, {'asset': {'symbol': 'MSFT', 'type': 'stock'}, 'quantity': 25.0}, {'asset': {'symbol': 'AMZN', 'type': 'stock'}, 'quantity': 55.0}, {'asset': {'symbol': 'AAPL', 'type': 'stock'}, 'quantity': 61.0}, {'asset': {'symbol': 'GOOGL', 'type': 'stock'}, 'quantity': 76.0}, {'asset': {'symbol': 'TSLA', 'type': 'stock'}, 'quantity': 43.0}]",0.0,0.0,0.0,0.0,0.0,0.0,0.007173773719852992,103868.39164733877
2025-07-18 09:30:00-04:00,103868.39164733887,-242.5290679931632,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'AMD', 'type': 'stock'}, 'quantity': 86.0}, {'asset': {'symbol': 'NVDA', 'type': 'stock'}, 'quantity': 78.0}, {'asset': {'symbol': 'META', 'type': 'stock'}, 'quantity': 16.0}, {'asset': {'symbol': 'MSFT', 'type': 'stock'}, 'quantity': 25.0}, {'asset': {'symbol': 'AMZN', 'type': 'stock'}, 'quantity': 55.0}, {'asset': {'symbol': 'AAPL', 'type': 'stock'}, 'quantity': 61.0}, {'asset': {'symbol': 'GOOGL', 'type': 'stock'}, 'quantity': 76.0}, {'asset': {'symbol': 'TSLA', 'type': 'stock'}, 'quantity': 43.0}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,103868.39164733877
2025-07-18 09:30:00-04:00,103868.39164733887,-242.5290679931632,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'AMD', 'type': 'stock'}, 'quantity': 86.0}, {'asset': {'symbol': 'NVDA', 'type': 'stock'}, 'quantity': 78.0}, {'asset': {'symbol': 'META', 'type': 'stock'}, 'quantity': 16.0}, {'asset': {'symbol': 'MSFT', 'type': 'stock'}, 'quantity': 25.0}, {'asset': {'symbol': 'AMZN', 'type': 'stock'}, 'quantity': 55.0}, {'asset': {'symbol': 'AAPL', 'type': 'stock'}, 'quantity': 61.0}, {'asset': {'symbol': 'GOOGL', 'type': 'stock'}, 'quantity': 76.0}, {'asset': {'symbol': 'TSLA', 'type': 'stock'}, 'quantity': 43.0}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,103868.39164733877
2025-07-18 16:00:00-04:00,103868.39164733887,-242.5290679931632,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'AMD', 'type': 'stock'}, 'quantity': 86.0}, {'asset': {'symbol': 'NVDA', 'type': 'stock'}, 'quantity': 78.0}, {'asset': {'symbol': 'META', 'type': 'stock'}, 'quantity': 16.0}, {'asset': {'symbol': 'MSFT', 'type': 'stock'}, 'quantity': 25.0}, {'asset': {'symbol': 'AMZN', 'type': 'stock'}, 'quantity': 55.0}, {'asset': {'symbol': 'AAPL', 'type': 'stock'}, 'quantity': 61.0}, {'asset': {'symbol': 'GOOGL', 'type': 'stock'}, 'quantity': 76.0}, {'asset': {'symbol': 'TSLA', 'type': 'stock'}, 'quantity': 43.0}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,103868.39164733877
