time,strategy,exchange,identifier,symbol,side,type,status,price,filled_quantity,multiplier,trade_cost,trade_slippage,time_in_force,asset.right,asset.strike,asset.multiplier,asset.expiration,asset.asset_type,price_source,event_kind,event_id,cash_event_type,cash_event_amount,cash_event_currency,cash_event_description,cash_event_direction,cash_event_reason,is_external_cash_flow,cash_event_raw_type,cash_event_raw_subtype,cash_event_broker_name,cash_event_broker_event_id
2025-07-31 09:30:00-04:00,StockPulse Momentum+Catalyst,,d4d0fbcd463f4b6f9e3fcf48da2faa0a,AMZN,sell,market,new,,,1,,0.0,day,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-07-31 09:30:00-04:00,StockPulse Momentum+Catalyst,,ee7ee2e27a824fa38c3bb1bc60d4b407,TSLA,sell,market,new,,,1,,0.0,day,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-07-31 09:30:00-04:00,StockPulse Momentum+Catalyst,,42ebdc28f2d4474b91edce8a7dfc8158,AMD,sell,market,fill,182.02000427246094,80.0,1,0.0,0.0,day,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-07-31 09:30:00-04:00,StockPulse Momentum+Catalyst,,e55a4af8290a445b9925a1a8590a3eaa,GOOGL,sell,market,fill,195.7100067138672,68.0,1,0.0,0.0,day,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-07-31 09:30:00-04:00,StockPulse Momentum+Catalyst,,1f28f82c28cf44e9a12ddb6a5a34ed93,MSFT,sell,market,fill,555.22998046875,25.0,1,0.0,0.0,day,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-07-31 09:30:00-04:00,StockPulse Momentum+Catalyst,,fe845fb7fca44873b9adebbccf595801,NVDA,sell,market,fill,182.89999389648438,75.0,1,0.0,0.0,day,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-07-31 09:30:00-04:00,StockPulse Momentum+Catalyst,,d4d0fbcd463f4b6f9e3fcf48da2faa0a,AMZN,sell,market,fill,235.77000427246094,56.0,1,0.0,0.0,day,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-07-31 09:30:00-04:00,StockPulse Momentum+Catalyst,,ee7ee2e27a824fa38c3bb1bc60d4b407,TSLA,sell,market,fill,319.6099853515625,41.0,1,0.0,0.0,day,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-08-01 09:30:00-04:00,StockPulse Momentum+Catalyst,,bt_15,MSFT,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-08-01 09:30:00-04:00,StockPulse Momentum+Catalyst,,bt_16,AMZN,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
