time,side,status,filled_quantity,symbol,asset.asset_type,asset.right,asset.strike,asset.expiration,price,type,asset.multiplier,trade_cost,trade_slippage,event_kind,event_id,cash_event_type,cash_event_amount,cash_event_currency,cash_event_description,cash_event_direction,cash_event_reason,is_external_cash_flow,cash_event_raw_type,cash_event_raw_subtype,cash_event_broker_name,cash_event_broker_event_id
2025-08-04 09:30:00-04:00,sell,new,,GOOGL,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-08-04 09:30:00-04:00,sell,new,,NVDA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-08-04 09:30:00-04:00,sell,fill,24.0,MSFT,stock,,0.0,,528.27001953125,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-08-04 09:30:00-04:00,sell,fill,57.0,AMZN,stock,,0.0,,217.39999389648438,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-08-04 09:30:00-04:00,sell,fill,17.0,META,stock,,0.0,,760.0,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-08-04 09:30:00-04:00,sell,fill,74.0,AMD,stock,,0.0,,174.61000061035156,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-08-04 09:30:00-04:00,sell,fill,69.0,GOOGL,stock,,0.0,,190.2899932861328,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-08-04 09:30:00-04:00,sell,fill,73.0,NVDA,stock,,0.0,,175.16000366210938,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-08-05 09:30:00-04:00,buy,new,,MSFT,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-08-05 09:30:00-04:00,buy,new,,META,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-08-05 09:30:00-04:00,buy,new,,AMD,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-08-05 09:30:00-04:00,buy,new,,GOOGL,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-08-05 09:30:00-04:00,buy,new,,NVDA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-08-05 09:30:00-04:00,buy,fill,25.0,MSFT,stock,,0.0,,537.1799926757812,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-08-05 09:30:00-04:00,buy,fill,17.0,META,stock,,0.0,,776.4500122070312,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-08-05 09:30:00-04:00,buy,fill,77.0,AMD,stock,,0.0,,177.57000732421875,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-08-05 09:30:00-04:00,buy,fill,71.0,GOOGL,stock,,0.0,,194.7100067138672,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-08-05 09:30:00-04:00,buy,fill,77.0,NVDA,stock,,0.0,,179.6199951171875,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-08-07 09:30:00-04:00,buy,new,,AAPL,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-08-07 09:30:00-04:00,buy,fill,65.0,AAPL,stock,,0.0,,218.8800048828125,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-08-11 09:30:00-04:00,buy,new,,TSLA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-08-11 09:30:00-04:00,buy,fill,40.0,TSLA,stock,,0.0,,335.0,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-08-15 09:30:00-04:00,buy,new,,AMZN,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-08-15 09:30:00-04:00,buy,fill,56.0,AMZN,stock,,0.0,,232.5800018310547,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-08-19 09:30:00-04:00,sell,new,,MSFT,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-08-19 09:30:00-04:00,sell,new,,META,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-08-19 09:30:00-04:00,sell,new,,AMD,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-08-19 09:30:00-04:00,sell,new,,GOOGL,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-08-19 09:30:00-04:00,sell,new,,NVDA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-08-19 09:30:00-04:00,sell,new,,AAPL,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-08-19 09:30:00-04:00,sell,new,,TSLA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-08-19 09:30:00-04:00,sell,new,,AMZN,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
